representation,layer,hand,split,n,r2,angular_error_deg,clf_accuracy
hidden_meanpool,2,hour,shuffled_labels,480,-0.29132019543780674,92.76985372851293,0.07916666666666666
hidden_meanpool,3,hour,shuffled_labels,480,-0.2921036719815272,92.78675694111735,0.07708333333333334
hidden_meanpool,4,hour,shuffled_labels,480,-0.2906464915509325,92.54755386114121,0.08333333333333333
hidden_meanpool,5,hour,shuffled_labels,480,-0.30651248152436505,92.93260593085239,0.07708333333333334
hidden_meanpool,6,hour,shuffled_labels,480,-0.3044917897627135,92.9404630455887,0.08333333333333333
hidden_meanpool,7,hour,shuffled_labels,480,-0.29980683552373866,92.40304454310487,0.08125
hidden_meanpool,8,hour,shuffled_labels,480,-0.3184706861638096,93.15891195597747,0.08333333333333333
hidden_meanpool,9,hour,shuffled_labels,480,-0.3329430307008222,92.8097992092371,0.08958333333333333
hidden_meanpool,10,hour,shuffled_labels,480,-0.31373773858933374,92.12083886529629,0.0875
hidden_meanpool,11,hour,shuffled_labels,480,-0.3116386137120404,93.1724080077683,0.0875
hidden_meanpool,12,hour,shuffled_labels,480,-0.30917281369295524,93.07667414680279,0.09791666666666667
hidden_meanpool,13,hour,shuffled_labels,480,-0.2853114590097807,91.859877201664,0.09166666666666666
hidden_meanpool,14,hour,shuffled_labels,480,-0.31605420353138025,94.33067729860583,0.08125
hidden_meanpool,15,hour,shuffled_labels,480,-0.31833480160668814,94.76744686253369,0.08541666666666667
hidden_meanpool,16,hour,shuffled_labels,480,-0.3026713277231772,93.59195650899782,0.0875
hidden_meanpool,17,hour,shuffled_labels,480,-0.2833668349388322,91.63135092958983,0.0875
hidden_meanpool,18,hour,shuffled_labels,480,-0.294487136298745,92.46529832299179,0.0875
hidden_meanpool,19,hour,shuffled_labels,480,-0.25978994855154924,89.6538626888146,0.08125
hidden_meanpool,20,hour,shuffled_labels,480,-0.27131314300286546,91.16369424120833,0.08958333333333333
hidden_meanpool,21,hour,shuffled_labels,480,-0.29909538539406355,92.13782208363214,0.08541666666666667
