representation,layer,hand,split,n,r2,angular_error_deg,clf_accuracy
hidden_last,33,minute,correct,12,-1.2204633014709864e+31,12.798230608304342,1.0
hidden_last,33,minute,wrong,468,0.882904669522361,11.50660765534028,0.8824786324786325
hidden_last,34,minute,all,480,0.8786998610395057,11.357932751299813,0.9041666666666667
hidden_last,34,minute,correct,12,-9.150400910363405e+30,12.166375716527304,1.0
hidden_last,34,minute,wrong,468,0.8778019085483213,11.337203444499108,0.9017094017094017
hidden_last,35,minute,all,480,0.8827291083955393,11.302868146030232,0.8833333333333333
hidden_last,35,minute,correct,12,-1.038058034183715e+31,12.69275971253713,1.0
hidden_last,35,minute,wrong,468,0.8822113553495337,11.267229900735183,0.8803418803418803
hidden_last,36,minute,all,480,0.876018137962657,11.674145311753575,0.8854166666666666
hidden_last,36,minute,correct,12,-1.041055153139257e+31,12.016717672348022,1.0
hidden_last,36,minute,wrong,468,0.8754985502537818,11.665361405071668,0.8824786324786325
hidden_last,0,hour,all,480,-0.003515210882037878,88.51143054962158,0.06875
hidden_last,0,hour,correct,134,-0.026797280566290604,96.54562736625103,0.029850746268656716
hidden_last,0,hour,wrong,346,-0.004923877915729458,85.39992079982868,0.0838150289017341
hidden_last,1,hour,all,480,0.8204818881522501,15.180831507849508,0.9020833333333333
hidden_last,1,hour,correct,134,0.7891804530878601,15.59783134531619,0.8955223880597015
hidden_last,1,hour,wrong,346,0.825784388715097,15.019334460969347,0.9046242774566474
hidden_last,2,hour,all,480,0.8284264189411357,15.124164034612477,0.9041666666666667
hidden_last,2,hour,correct,134,0.7990373102855879,16.258391990590454,0.8805970149253731
hidden_last,2,hour,wrong,346,0.8327038165591557,14.684896560331989,0.9132947976878613
hidden_last,3,hour,all,480,0.8431525479168336,13.666304706533749,0.9145833333333333
hidden_last,3,hour,correct,134,0.820148266717531,13.85121884986536,0.9029850746268657
hidden_last,3,hour,wrong,346,0.8436330355713149,13.594690558538272,0.9190751445086706
hidden_last,4,hour,all,480,0.8498156472909628,13.01186234379808,0.91875
hidden_last,4,hour,correct,134,0.8263871758035386,13.837310001031678,0.9104477611940298
hidden_last,4,hour,wrong,346,0.8534076620969884,12.692180303135359,0.9219653179190751
hidden_last,5,hour,all,480,0.8636596307858966,12.000300402007998,0.9166666666666666
hidden_last,5,hour,correct,134,0.8345131216118694,13.155844449996952,0.917910447761194
hidden_last,5,hour,wrong,346,0.8698795872419336,11.552777562613432,0.9161849710982659
hidden_last,6,hour,all,480,0.8493423412775811,13.256860146981975,0.9125
hidden_last,6,hour,correct,134,0.8267112434083885,14.876666093940166,0.917910447761194
hidden_last,6,hour,wrong,346,0.854267859902511,12.62953645654152,0.9104046242774566
hidden_last,7,hour,all,480,0.8489683547119062,13.29479183643901,0.9166666666666666
hidden_last,7,hour,correct,134,0.8093352360860633,15.18225600470358,0.917910447761194
hidden_last,7,hour,wrong,346,0.8594829230867018,12.563808603642906,0.9161849710982659
hidden_last,8,hour,all,480,0.8723530803397879,12.21207422365745,0.91875
hidden_last,8,hour,correct,134,0.8352574359926692,14.784600037247387,0.8955223880597015
hidden_last,8,hour,wrong,346,0.8818039363508781,11.215778099319149,0.9277456647398844
hidden_last,9,hour,all,480,0.8688519122526699,12.195003436940413,0.9229166666666667
hidden_last,9,hour,correct,134,0.8501457988626546,14.473342297682123,0.8805970149253731
hidden_last,9,hour,wrong,346,0.8722341854133435,11.31264098798264,0.9393063583815029
hidden_last,10,hour,all,480,0.8739600786847508,11.86676497956117,0.9145833333333333
hidden_last,10,hour,correct,134,0.852691038403265,14.35480171886843,0.8880597014925373
